animal_name,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13
gharial,0.004479091705033175,0.8605938038405255,0.00038904108991649836,0.001502148033371476,0.09535024912782962,3.0888944493235215e-06,0.018042754232777118,0.012866225627063112,0.0002580848656833202,0.0013922303975711172,0.0027493564748912788,0.0016676591626401938,0.0007062665482479996
skink,0.026080126814267184,0.7957066031555433,8.684402842370532e-06,0.0191916233224281,0.08764016063958506,0.02078949611536962,0.0035135327230001834,3.224471443212784e-05,0.022681157413815704,0.0029380112697576046,0.003042610777877737,0.018027304620257725,0.0003484440308232497
anchovy,0.8878123656242026,0.0005552975497762576,0.04681407053918223,0.0015689624047564399,0.00996848463137101,0.021436930864809255,0.015973777397300437,0.001969923944011386,0.0004451756303843942,0.012259678821310937,0.0006665825632692713,0.0003536527760407177,0.00017509725358505094
flounder,0.9317596284192907,1.1148781646468468e-06,0.04342549693476291,0.021219387759403824,0.0001139620833281482,0.00032598298139256395,0.0013840139468694315,1.6992317579406345e-05,0.000576845665976298,0.0003571641828549111,0.00015184748183184595,0.0006059735961281498,6.158975241727544e-05
halibut,0.9317596284192907,1.1148781646468468e-06,0.04342549693476291,0.021219387759403824,0.0001139620833281482,0.00032598298139256395,0.0013840139468694315,1.6992317579406345e-05,0.000576845665976298,0.0003571641828549111,0.00015184748183184595,0.0006059735961281498,6.158975241727544e-05
mackerel,0.9317596284192907,1.1148781646468468e-06,0.04342549693476291,0.021219387759403824,0.0001139620833281482,0.00032598298139256395,0.0013840139468694315,1.6992317579406345e-05,0.000576845665976298,0.0003571641828549111,0.00015184748183184595,0.0006059735961281498,6.158975241727544e-05
barracuda,0.902100017483282,0.008252081459102212,0.0001639899080061712,0.003991718311323826,0.03839791326904133,0.009468406824113809,0.008610612002507947,9.678420948057045e-05,0.01823159127810078,0.00847787243816238,0.000901427547072445,6.247824943855756e-05,0.0012451070203681048
marlin,0.9317596284192907,1.1148781646468468e-06,0.04342549693476291,0.021219387759403824,0.0001139620833281482,0.00032598298139256395,0.0013840139468694315,1.6992317579406345e-05,0.000576845665976298,0.0003571641828549111,0.00015184748183184595,0.0006059735961281498,6.158975241727544e-05
trout,0.9317596284192907,1.1148781646468468e-06,0.04342549693476291,0.021219387759403824,0.0001139620833281482,0.00032598298139256395,0.0013840139468694315,1.6992317579406345e-05,0.000576845665976298,0.0003571641828549111,0.00015184748183184595,0.0006059735961281498,6.158975241727544e-05
salamander,0.17330259332952383,0.06771539466038975,0.07486535093686786,0.35635092999312185,0.0024816859021690287,0.09967992312241684,0.01633835972387376,0.05365157083556271,0.11818215803093102,0.0027773559028554263,0.031399911227902706,0.0029447407288184712,0.00031002560556672455
siren,0.49301829103013195,0.007764159438723897,0.003073424159023351,0.3393342692393748,0.0010528366065613293,0.018320899744934796,0.0008147281386217369,0.009124269465349208,0.012487182607393957,0.004388037350392245,0.1076985706620181,0.0015348458914642169,0.0013884856660104
tree frog,0.3167860530299871,0.006265202453302886,0.05109096385475645,0.45951753731886874,0.05596890166750698,0.04106660336713377,0.02070064722755341,0.001674787636003853,0.016526396756267853,0.00052927672538782,0.02024058063065006,0.00952771540230518,0.00010533393027582067
dart frog,0.3167860530299871,0.006265202453302886,0.05109096385475645,0.45951753731886874,0.05596890166750698,0.04106660336713377,0.02070064722755341,0.001674787636003853,0.016526396756267853,0.00052927672538782,0.02024058063065006,0.00952771540230518,0.00010533393027582067
firebelly,0.3167860530299871,0.006265202453302886,0.05109096385475645,0.45951753731886874,0.05596890166750698,0.04106660336713377,0.02070064722755341,0.001674787636003853,0.016526396756267853,0.00052927672538782,0.02024058063065006,0.00952771540230518,0.00010533393027582067
wart toad,0.3167860530299871,0.006265202453302886,0.05109096385475645,0.45951753731886874,0.05596890166750698,0.04106660336713377,0.02070064722755341,0.001674787636003853,0.016526396756267853,0.00052927672538782,0.02024058063065006,0.00952771540230518,0.00010533393027582067
mosquito,0.9018523597697654,0.05127561966394509,0.0027131456236537013,0.015436318326529329,0.01073720104208655,0.002308447402921543,0.008884029120624774,0.004216371318402384,0.0004273798169486274,0.0018082209875563836,0.00021835666368175268,0.00011209023938984495,1.0460024494751732e-05
hornet,0.8173061360812921,0.03423280971087111,0.039093299968944305,0.049941854913381156,0.007629749618087287,0.002023871893596242,0.000398244171660556,0.03506551989490511,0.00010302157526930328,0.012539543784805068,0.0009527067503366215,0.000713110408165358,1.312286859195101e-07
cricket,0.9167459773388844,0.047689650218690746,0.003339267965434428,0.0006634797448016989,0.0038208728333037592,0.0019264205933392138,0.004042826023289293,0.012774093038484704,0.00880417261198436,6.54213119648492e-06,0.0001425556961580353,1.0618723668906625e-05,3.352308076388273e-05
beetle,0.9167459773388844,0.047689650218690746,0.003339267965434428,0.0006634797448016989,0.0038208728333037592,0.0019264205933392138,0.004042826023289293,0.012774093038484704,0.00880417261198436,6.54213119648492e-06,0.0001425556961580353,1.0618723668906625e-05,3.352308076388273e-05
butterfly,0.9018523597697654,0.05127561966394509,0.0027131456236537013,0.015436318326529329,0.01073720104208655,0.002308447402921543,0.008884029120624774,0.004216371318402384,0.0004273798169486274,0.0018082209875563836,0.00021835666368175268,0.00011209023938984495,1.0460024494751732e-05
palmetto,0.8739554091943272,0.03440855707395382,0.01112346960749503,0.04012606914495731,0.0007410784484642913,0.008496976431531158,0.0027150400645788546,1.2957074651194884e-06,0.024374202179128748,0.0020194913475366618,0.0014211728012260786,0.0003456358354253459,0.0002716021639102989
cockroach,0.9167459773388844,0.047689650218690746,0.003339267965434428,0.0006634797448016989,0.0038208728333037592,0.0019264205933392138,0.004042826023289293,0.012774093038484704,0.00880417261198436,6.54213119648492e-06,0.0001425556961580353,1.0618723668906625e-05,3.352308076388273e-05
mantis,0.8865093234195038,0.031049049289714362,0.010963979990018035,0.011212012589637325,0.005229135007762583,1.0537875840751735e-05,0.010853045945733861,0.03164309048110077,0.002288430777204561,0.007545269513421121,0.0017717951502581103,0.0007119085025558822,0.0002124214572488291
dragonfly,0.9018523597697654,0.05127561966394509,0.0027131456236537013,0.015436318326529329,0.01073720104208655,0.002308447402921543,0.008884029120624774,0.004216371318402384,0.0004273798169486274,0.0018082209875563836,0.00021835666368175268,0.00011209023938984495,1.0460024494751732e-05
